time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_gender,subject,entries,91AstarG,94AstarC,97AstarA,9to5,grade9,grade8,grade7,grade6,grade5,grade4,grade3,grade2,grade1,grade99,grade98,grade88,grade87,grade77,grade76,grade66,grade65,grade55,grade54,grade44,grade43,grade33,grade32,grade22,grade21,grade11,gradeAstar,gradeA,gradeB,gradeC,gradeD,gradeE,gradeF,gradeG
202021,Academic year,National,E92000001,England,Revised,Total,All Subjects,4532533,98.9,80.2,31.6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,Boys,All Subjects,2261168,98.7,76.7,26.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,Girls,All Subjects,2271365,99.1,83.7,36.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,Total,Ancient History,1081,97.9,85,49.4,75.7,18.3,16.2,14.9,14.8,11.5,9.3,6.6,3.8,2.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,Boys,Ancient History,611,97.5,86.6,54.2,78.6,22.6,17.2,14.4,15.2,9.2,8,5.4,3.4,2.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,Girls,Ancient History,470,98.3,83,43.2,71.9,12.8,14.9,15.5,14.3,14.5,11.1,8.1,4.3,3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,Total,Arabic,3432,98.2,91.9,60.7,83.6,25.3,20.1,15.2,10.2,12.8,8.3,4,1.7,0.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,Boys,Arabic,1640,97.6,89.1,56.6,80.4,23.6,18.8,14.2,9.8,14,8.7,5.3,2.1,1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,Girls,Arabic,1792,98.8,94.5,64.4,86.6,27,21.4,16.1,10.5,11.7,7.9,2.8,1.4,0.2,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,Total,Art and Design,194098,99.1,84.5,30.1,67.9,7,9.3,13.8,18.5,19.3,16.6,9.3,3.9,1.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
